[DEBUG] 2020-04-04 19:57:44.605 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-04-04 19:57:44.612 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-04-04 19:57:44.623 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-04-04 19:57:44.718 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-04-04 19:57:44.721 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-04-04 19:57:44.887 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-04-04 19:57:44.888 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-04-04 19:57:44.894 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-04-04 19:57:45.107 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-04-04 19:57:45.121 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-04-04 19:57:45.122 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[DEBUG] 2020-04-04 19:57:45.155 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@4bbb49b0
[DEBUG] 2020-04-04 19:57:45.155 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@4bbb49b0
[DEBUG] 2020-04-04 19:57:45.156 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@6f4ade6e
[DEBUG] 2020-04-04 19:57:45.157 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@6f4ade6e
[DEBUG] 2020-04-04 19:57:45.157 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@6f4ade6e
[DEBUG] 2020-04-04 19:57:45.157 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@440eaa07
[DEBUG] 2020-04-04 19:57:45.157 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@440eaa07
[DEBUG] 2020-04-04 19:57:45.158 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@440eaa07
[DEBUG] 2020-04-04 19:57:45.159 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@4f453e63
[DEBUG] 2020-04-04 19:57:45.159 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@4f453e63
[DEBUG] 2020-04-04 19:57:45.159 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@221dad51
[DEBUG] 2020-04-04 19:57:45.159 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@221dad51
[DEBUG] 2020-04-04 19:57:45.160 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@2015b2cd
[DEBUG] 2020-04-04 19:57:45.160 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@2015b2cd
[DEBUG] 2020-04-04 19:57:45.161 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@117bcfdc
[DEBUG] 2020-04-04 19:57:45.161 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@21d1b321
[DEBUG] 2020-04-04 19:57:45.161 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@3ffb3598
[DEBUG] 2020-04-04 19:57:45.161 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@3ffb3598
[DEBUG] 2020-04-04 19:57:45.162 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@7b78ed6a
[DEBUG] 2020-04-04 19:57:45.162 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@7b78ed6a
[DEBUG] 2020-04-04 19:57:45.165 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@4b1a43d8
[DEBUG] 2020-04-04 19:57:45.166 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@4b1a43d8
[DEBUG] 2020-04-04 19:57:45.167 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@2776015d
[DEBUG] 2020-04-04 19:57:45.167 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@2776015d
[DEBUG] 2020-04-04 19:57:45.168 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@756b58a7
[DEBUG] 2020-04-04 19:57:45.168 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@756b58a7
[DEBUG] 2020-04-04 19:57:45.168 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@548d5ed3
[DEBUG] 2020-04-04 19:57:45.168 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@548d5ed3
[DEBUG] 2020-04-04 19:57:45.169 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@61e7bf2f
[DEBUG] 2020-04-04 19:57:45.169 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@61e7bf2f
[DEBUG] 2020-04-04 19:57:45.171 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@554cd74a
[DEBUG] 2020-04-04 19:57:45.171 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@554cd74a
[DEBUG] 2020-04-04 19:57:45.172 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@379ce046
[DEBUG] 2020-04-04 19:57:45.172 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@379ce046
[DEBUG] 2020-04-04 19:57:45.173 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@4726927c
[DEBUG] 2020-04-04 19:57:45.173 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@4726927c
[DEBUG] 2020-04-04 19:57:45.173 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@61dde151
[DEBUG] 2020-04-04 19:57:45.174 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@61dde151
[DEBUG] 2020-04-04 19:57:45.174 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@6c575325
[DEBUG] 2020-04-04 19:57:45.174 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@6c575325
[DEBUG] 2020-04-04 19:57:45.175 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@6c575325
[DEBUG] 2020-04-04 19:57:45.176 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@188b6035
[DEBUG] 2020-04-04 19:57:45.177 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@351f2244
[DEBUG] 2020-04-04 19:57:45.177 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@351f2244
[DEBUG] 2020-04-04 19:57:45.177 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@351f2244
[DEBUG] 2020-04-04 19:57:45.178 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@43da41e
[DEBUG] 2020-04-04 19:57:45.179 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@3bd3d05e
[DEBUG] 2020-04-04 19:57:45.179 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@3bd3d05e
[DEBUG] 2020-04-04 19:57:45.180 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@6ab7ce48
[DEBUG] 2020-04-04 19:57:45.180 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@6ab7ce48
[DEBUG] 2020-04-04 19:57:45.180 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@4d0753c9
[DEBUG] 2020-04-04 19:57:45.180 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@4d0753c9
[DEBUG] 2020-04-04 19:57:45.181 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@20411320
[DEBUG] 2020-04-04 19:57:45.181 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@20411320
[DEBUG] 2020-04-04 19:57:45.181 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@12abdfb
[DEBUG] 2020-04-04 19:57:45.181 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@12abdfb
[DEBUG] 2020-04-04 19:57:45.182 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@68577ba8
[DEBUG] 2020-04-04 19:57:45.182 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@5fb65013
[DEBUG] 2020-04-04 19:57:45.182 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@5fb65013
[DEBUG] 2020-04-04 19:57:45.182 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@5fb65013
[DEBUG] 2020-04-04 19:57:45.183 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@1c6c6f24
[DEBUG] 2020-04-04 19:57:45.183 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@1c6c6f24
[DEBUG] 2020-04-04 19:57:45.183 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@1c6c6f24
[DEBUG] 2020-04-04 19:57:45.184 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@57a2ed35
[DEBUG] 2020-04-04 19:57:45.184 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@9d3c67
[DEBUG] 2020-04-04 19:57:45.185 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@71466383
[DEBUG] 2020-04-04 19:57:45.185 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@71466383
[DEBUG] 2020-04-04 19:57:45.185 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@71466383
[DEBUG] 2020-04-04 19:57:45.185 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@129fed45
[DEBUG] 2020-04-04 19:57:45.186 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@129fed45
[DEBUG] 2020-04-04 19:57:45.186 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@129fed45
[DEBUG] 2020-04-04 19:57:45.186 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@11b377c5
[DEBUG] 2020-04-04 19:57:45.186 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@702c436b
[DEBUG] 2020-04-04 19:57:45.187 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@20a05b32
[DEBUG] 2020-04-04 19:57:45.187 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@20a05b32
[DEBUG] 2020-04-04 19:57:45.187 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@2ab5afc7
[DEBUG] 2020-04-04 19:57:45.188 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@3c35c345
[DEBUG] 2020-04-04 19:57:45.188 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@3c35c345
[DEBUG] 2020-04-04 19:57:45.189 [main] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@62d73ead
[DEBUG] 2020-04-04 19:57:45.189 [main] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@62d73ead
[DEBUG] 2020-04-04 19:57:45.189 [main] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@46731692
[DEBUG] 2020-04-04 19:57:45.190 [main] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@2de50ee4
[DEBUG] 2020-04-04 19:57:45.190 [main] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@497aec8c
[DEBUG] 2020-04-04 19:57:45.192 [main] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@7f08caf
[DEBUG] 2020-04-04 19:57:45.192 [main] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@7f08caf
[DEBUG] 2020-04-04 19:57:45.192 [main] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@27a2a089
[DEBUG] 2020-04-04 19:57:45.195 [main] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@54657dd2
[DEBUG] 2020-04-04 19:57:45.195 [main] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@706eab5d
[DEBUG] 2020-04-04 19:57:45.195 [main] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@72725ee1
[DEBUG] 2020-04-04 19:57:45.195 [main] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@40e60ece
[DEBUG] 2020-04-04 19:57:45.195 [main] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@3f9270ed
[DEBUG] 2020-04-04 19:57:45.195 [main] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@3a230001
[DEBUG] 2020-04-04 19:57:45.195 [main] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@5ac6c4f2
[DEBUG] 2020-04-04 19:57:45.212 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
[DEBUG] 2020-04-04 19:57:45.213 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
[DEBUG] 2020-04-04 19:57:45.214 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2020-04-04 19:57:45.214 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2020-04-04 19:57:45.215 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
[DEBUG] 2020-04-04 19:57:45.215 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
[DEBUG] 2020-04-04 19:57:45.216 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
[DEBUG] 2020-04-04 19:57:45.217 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2020-04-04 19:57:45.217 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
[DEBUG] 2020-04-04 19:57:45.218 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
[DEBUG] 2020-04-04 19:57:45.218 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
[DEBUG] 2020-04-04 19:57:45.218 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
[DEBUG] 2020-04-04 19:57:45.218 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2020-04-04 19:57:45.219 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
[WARN ] 2020-04-04 19:57:45.221 [main] ConnectionProviderInitiator - HHH000022: c3p0 properties were encountered, but the c3p0 provider class was not found on the classpath; these properties are going to be ignored.
[WARN ] 2020-04-04 19:57:45.222 [main] pooling - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[INFO ] 2020-04-04 19:57:45.223 [main] pooling - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/test_blog]
[INFO ] 2020-04-04 19:57:45.223 [main] pooling - HHH10001001: Connection properties: {password=jeyTesting12, user=tester}
[INFO ] 2020-04-04 19:57:45.223 [main] pooling - HHH10001003: Autocommit mode: false
[DEBUG] 2020-04-04 19:57:45.224 [main] DriverManagerConnectionProviderImpl - Initializing Connection pool with 1 Connections
[INFO ] 2020-04-04 19:57:45.224 [main] DriverManagerConnectionProviderImpl - HHH000115: Hibernate connection pool size: 20 (min=1)
[DEBUG] 2020-04-04 19:57:45.344 [main] JdbcEnvironmentInitiator - Database ->
       name : MySQL
    version : 8.0.19
      major : 8
      minor : 0
[DEBUG] 2020-04-04 19:57:45.344 [main] JdbcEnvironmentInitiator - Driver ->
       name : MySQL Connector/J
    version : mysql-connector-java-8.0.17 (Revision: 16a712ddb3f826a1933ab42b0039f7fb9eebc6ec)
      major : 8
      minor : 0
[DEBUG] 2020-04-04 19:57:45.344 [main] JdbcEnvironmentInitiator - JDBC version : 4.2
[INFO ] 2020-04-04 19:57:45.352 [main] Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[DEBUG] 2020-04-04 19:57:45.362 [main] IdentifierHelperBuilder - JDBC driver metadata reported database stores quoted identifiers in more than one case
[DEBUG] 2020-04-04 19:57:45.374 [main] IdentifierHelperBuilder - IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [MIXED]; that will likely lead to problems in schema update and validation if using quoted identifiers
[DEBUG] 2020-04-04 19:57:45.391 [main] Namespace - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
[DEBUG] 2020-04-04 19:57:45.393 [main] TypeConfiguration$Scope - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@58ff8d79] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@7e19755a]
[DEBUG] 2020-04-04 19:57:45.421 [main] AnnotationBinder - Binding entity from annotated class: com.jeyblog.entity.Post
[DEBUG] 2020-04-04 19:57:45.437 [main] Ejb3Column - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
[DEBUG] 2020-04-04 19:57:45.439 [main] EntityBinder - Import with entity name Post
[DEBUG] 2020-04-04 19:57:45.441 [main] EntityBinder - Bind entity com.jeyblog.entity.Post on table Post
[DEBUG] 2020-04-04 19:57:45.457 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(Post), mappingColumn=post_id, insertable=true, updatable=true, unique=false}
[DEBUG] 2020-04-04 19:57:45.460 [main] PropertyBinder - MetadataSourceProcessor property postId with lazy=false
[DEBUG] 2020-04-04 19:57:45.462 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.jeyblog.entity.Post:postId]
[DEBUG] 2020-04-04 19:57:45.463 [main] SimpleValueBinder - building SimpleValue for postId
[DEBUG] 2020-04-04 19:57:45.464 [main] PropertyBinder - Building property postId
[DEBUG] 2020-04-04 19:57:45.467 [main] BinderHelper - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(post_id)]), postId, org.hibernate.id.enhanced.SequenceStyleGenerator, native, ...)
[DEBUG] 2020-04-04 19:57:45.469 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(Post), mappingColumn=author, insertable=true, updatable=true, unique=false}
[DEBUG] 2020-04-04 19:57:45.469 [main] PropertyBinder - MetadataSourceProcessor property author with lazy=false
[DEBUG] 2020-04-04 19:57:45.469 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.jeyblog.entity.Post:author]
[DEBUG] 2020-04-04 19:57:45.469 [main] SimpleValueBinder - building SimpleValue for author
[DEBUG] 2020-04-04 19:57:45.469 [main] PropertyBinder - Building property author
[DEBUG] 2020-04-04 19:57:45.469 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(Post), mappingColumn=category, insertable=true, updatable=true, unique=false}
[DEBUG] 2020-04-04 19:57:45.469 [main] PropertyBinder - MetadataSourceProcessor property category with lazy=false
[DEBUG] 2020-04-04 19:57:45.469 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.jeyblog.entity.Post:category]
[DEBUG] 2020-04-04 19:57:45.469 [main] SimpleValueBinder - building SimpleValue for category
[DEBUG] 2020-04-04 19:57:45.469 [main] PropertyBinder - Building property category
[DEBUG] 2020-04-04 19:57:45.469 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(Post), mappingColumn=created_at, insertable=true, updatable=true, unique=false}
[DEBUG] 2020-04-04 19:57:45.470 [main] PropertyBinder - MetadataSourceProcessor property createdAt with lazy=false
[DEBUG] 2020-04-04 19:57:45.470 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.jeyblog.entity.Post:createdAt]
[DEBUG] 2020-04-04 19:57:45.470 [main] SimpleValueBinder - building SimpleValue for createdAt
[DEBUG] 2020-04-04 19:57:45.470 [main] PropertyBinder - Building property createdAt
[DEBUG] 2020-04-04 19:57:45.475 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(Post), mappingColumn=description, insertable=true, updatable=true, unique=false}
[DEBUG] 2020-04-04 19:57:45.475 [main] PropertyBinder - MetadataSourceProcessor property description with lazy=false
[DEBUG] 2020-04-04 19:57:45.475 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.jeyblog.entity.Post:description]
